date,indicator,value
01/04/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,63.9
01/04/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.3
01/04/1999,kalenderbereinigte_werte_bv_41_2020100,67.4
01/07/1999,originalwert_2020100,60.5
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.5
01/07/1999,trendkonjunkturkomponente_bv_41_2020100,64.3
01/07/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/07/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,64.1
01/07/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/07/1999,kalenderbereinigte_werte_bv_41_2020100,60.5
01/10/1999,originalwert_2020100,68.9
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/10/1999,trendkonjunkturkomponente_bv_41_2020100,64.7
01/10/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,64.5
01/10/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/10/1999,kalenderbereinigte_werte_bv_41_2020100,69.8
01/01/2000,originalwert_2020100,59.2
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.3
01/01/2000,trendkonjunkturkomponente_bv_41_2020100,65.2
01/01/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,65.2
01/01/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.1
01/01/2000,kalenderbereinigte_werte_bv_41_2020100,59.9
01/04/2000,originalwert_2020100,69.3
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.8
01/04/2000,trendkonjunkturkomponente_bv_41_2020100,65.5
01/04/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/04/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,65.3
01/04/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/2000,kalenderbereinigte_werte_bv_41_2020100,68.8
01/07/2000,originalwert_2020100,62.7
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.6
01/07/2000,trendkonjunkturkomponente_bv_41_2020100,66.0
01/07/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/07/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,65.9
01/07/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.0
01/07/2000,kalenderbereinigte_werte_bv_41_2020100,62.2
01/10/2000,originalwert_2020100,72.1
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.6
01/10/2000,trendkonjunkturkomponente_bv_41_2020100,66.4
01/10/2000,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/10/2000,kalender_und_saisonbereinigte_werte_bv_41_2020100,66.3
01/10/2000,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/10/2000,kalenderbereinigte_werte_bv_41_2020100,71.4
01/01/2001,originalwert_2020100,61.3
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.5
01/01/2001,trendkonjunkturkomponente_bv_41_2020100,66.8
01/01/2001,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/2001,kalender_und_saisonbereinigte_werte_bv_41_2020100,66.7
01/01/2001,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/2001,kalenderbereinigte_werte_bv_41_2020100,61.5
01/04/2001,originalwert_2020100,71.2
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.8
01/04/2001,trendkonjunkturkomponente_bv_41_2020100,67.2
01/04/2001,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/04/2001,kalender_und_saisonbereinigte_werte_bv_41_2020100,67.1
01/04/2001,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/04/2001,kalenderbereinigte_werte_bv_41_2020100,70.7
01/07/2001,originalwert_2020100,63.9
01/07/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.0
01/07/2001,trendkonjunkturkomponente_bv_41_2020100,67.5
01/07/2001,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/07/2001,kalender_und_saisonbereinigte_werte_bv_41_2020100,67.2
01/07/2001,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/07/2001,kalenderbereinigte_werte_bv_41_2020100,63.4
01/10/2001,originalwert_2020100,73.7
01/10/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.2
01/10/2001,trendkonjunkturkomponente_bv_41_2020100,67.9
01/10/2001,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/10/2001,kalender_und_saisonbereinigte_werte_bv_41_2020100,67.9
01/10/2001,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.0
01/10/2001,kalenderbereinigte_werte_bv_41_2020100,73.0
01/01/2002,originalwert_2020100,63.6
01/01/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.8
01/01/2002,trendkonjunkturkomponente_bv_41_2020100,68.3
01/01/2002,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/2002,kalender_und_saisonbereinigte_werte_bv_41_2020100,68.1
01/01/2002,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/01/2002,kalenderbereinigte_werte_bv_41_2020100,62.8
01/04/2002,originalwert_2020100,72.4
01/04/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/04/2002,trendkonjunkturkomponente_bv_41_2020100,68.7
01/04/2002,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/04/2002,kalender_und_saisonbereinigte_werte_bv_41_2020100,68.6
01/04/2002,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/2002,kalenderbereinigte_werte_bv_41_2020100,72.3
01/07/2002,originalwert_2020100,65.3
01/07/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.2
01/07/2002,trendkonjunkturkomponente_bv_41_2020100,69.2
01/07/2002,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/07/2002,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.1
01/07/2002,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.8
01/07/2002,kalenderbereinigte_werte_bv_41_2020100,65.3
01/10/2002,originalwert_2020100,75.1
01/10/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.0
01/10/2002,trendkonjunkturkomponente_bv_41_2020100,69.7
01/10/2002,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/2002,kalender_und_saisonbereinigte_werte_bv_41_2020100,69.6
01/10/2002,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/2002,kalenderbereinigte_werte_bv_41_2020100,74.4
01/01/2003,originalwert_2020100,65.1
01/01/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.4
01/01/2003,trendkonjunkturkomponente_bv_41_2020100,70.2
01/01/2003,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/2003,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.1
01/01/2003,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/2003,kalenderbereinigte_werte_bv_41_2020100,64.8
01/04/2003,originalwert_2020100,74.9
01/04/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.5
01/04/2003,trendkonjunkturkomponente_bv_41_2020100,70.5
01/04/2003,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/04/2003,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.4
01/04/2003,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/04/2003,kalenderbereinigte_werte_bv_41_2020100,74.4
01/07/2003,originalwert_2020100,67.0
01/07/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.6
01/07/2003,trendkonjunkturkomponente_bv_41_2020100,70.9
01/07/2003,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/07/2003,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.8
01/07/2003,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/07/2003,kalenderbereinigte_werte_bv_41_2020100,67.0
01/10/2003,originalwert_2020100,75.9
01/10/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/10/2003,trendkonjunkturkomponente_bv_41_2020100,71.1
01/10/2003,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/10/2003,kalender_und_saisonbereinigte_werte_bv_41_2020100,70.9
01/10/2003,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.0
01/10/2003,kalenderbereinigte_werte_bv_41_2020100,75.6
01/01/2004,originalwert_2020100,65.8
01/01/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/01/2004,trendkonjunkturkomponente_bv_41_2020100,71.3
01/01/2004,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/01/2004,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.3
01/01/2004,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/2004,kalenderbereinigte_werte_bv_41_2020100,66.0
01/04/2004,originalwert_2020100,75.6
01/04/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.9
01/04/2004,trendkonjunkturkomponente_bv_41_2020100,71.4
01/04/2004,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/2004,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.3
01/04/2004,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.0
01/04/2004,kalenderbereinigte_werte_bv_41_2020100,75.5
01/07/2004,originalwert_2020100,67.2
01/07/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.3
01/07/2004,trendkonjunkturkomponente_bv_41_2020100,71.4
01/07/2004,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.0
01/07/2004,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.2
01/07/2004,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.1
01/07/2004,kalenderbereinigte_werte_bv_41_2020100,67.2
01/10/2004,originalwert_2020100,75.3
01/10/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.8
01/10/2004,trendkonjunkturkomponente_bv_41_2020100,71.5
01/10/2004,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/10/2004,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.6
01/10/2004,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/10/2004,kalenderbereinigte_werte_bv_41_2020100,76.1
01/01/2005,originalwert_2020100,66.7
01/01/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.4
01/01/2005,trendkonjunkturkomponente_bv_41_2020100,71.5
01/01/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.0
01/01/2005,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.2
01/01/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.6
01/01/2005,kalenderbereinigte_werte_bv_41_2020100,66.0
01/04/2005,originalwert_2020100,75.0
01/04/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.8
01/04/2005,trendkonjunkturkomponente_bv_41_2020100,71.5
01/04/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.5
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/04/2005,kalenderbereinigte_werte_bv_41_2020100,75.9
01/07/2005,originalwert_2020100,67.4
01/07/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.3
01/07/2005,trendkonjunkturkomponente_bv_41_2020100,71.6
01/07/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.4
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.1
01/07/2005,kalenderbereinigte_werte_bv_41_2020100,67.4
01/10/2005,originalwert_2020100,75.9
01/10/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.8
01/10/2005,trendkonjunkturkomponente_bv_41_2020100,71.7
01/10/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.4
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.1
01/10/2005,kalenderbereinigte_werte_bv_41_2020100,75.7
01/01/2006,originalwert_2020100,66.3
01/01/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.7
01/01/2006,trendkonjunkturkomponente_bv_41_2020100,71.9
01/01/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/01/2006,kalender_und_saisonbereinigte_werte_bv_41_2020100,72.1
01/01/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.0
01/01/2006,kalenderbereinigte_werte_bv_41_2020100,67.0
01/04/2006,originalwert_2020100,76.8
01/04/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.4
01/04/2006,trendkonjunkturkomponente_bv_41_2020100,72.0
01/04/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/2006,kalender_und_saisonbereinigte_werte_bv_41_2020100,71.8
01/04/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.4
01/04/2006,kalenderbereinigte_werte_bv_41_2020100,76.2
01/07/2006,originalwert_2020100,68.6
01/07/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.8
01/07/2006,trendkonjunkturkomponente_bv_41_2020100,72.1
01/07/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/07/2006,kalender_und_saisonbereinigte_werte_bv_41_2020100,72.1
01/07/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/2006,kalenderbereinigte_werte_bv_41_2020100,68.1
01/10/2006,originalwert_2020100,77.1
01/10/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.5
01/10/2006,trendkonjunkturkomponente_bv_41_2020100,72.2
01/10/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/10/2006,kalender_und_saisonbereinigte_werte_bv_41_2020100,72.1
01/10/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.0
01/10/2006,kalenderbereinigte_werte_bv_41_2020100,76.4
01/01/2007,originalwert_2020100,66.7
01/01/2007,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.6
01/01/2007,trendkonjunkturkomponente_bv_41_2020100,72.3
01/01/2007,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/01/2007,kalender_und_saisonbereinigte_werte_bv_41_2020100,72.0
01/01/2007,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.2
01/01/2007,kalenderbereinigte_werte_bv_41_2020100,66.9
01/04/2007,originalwert_2020100,77.5
01/04/2007,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.9
01/04/2007,trendkonjunkturkomponente_bv_41_2020100,72.5
01/04/2007,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/04/2007,kalender_und_saisonbereinigte_werte_bv_41_2020100,72.5
01/04/2007,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/2007,kalenderbereinigte_werte_bv_41_2020100,77.0
01/07/2007,originalwert_2020100,69.1
01/07/2007,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/07/2007,trendkonjunkturkomponente_bv_41_2020100,72.8
01/07/2007,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/2007,kalender_und_saisonbereinigte_werte_bv_41_2020100,72.7
01/07/2007,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/07/2007,kalenderbereinigte_werte_bv_41_2020100,68.6
01/10/2007,originalwert_2020100,78.0
01/10/2007,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/10/2007,trendkonjunkturkomponente_bv_41_2020100,73.2
01/10/2007,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/10/2007,kalender_und_saisonbereinigte_werte_bv_41_2020100,73.0
01/10/2007,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/10/2007,kalenderbereinigte_werte_bv_41_2020100,77.3
01/01/2008,originalwert_2020100,69.3
01/01/2008,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.9
01/01/2008,trendkonjunkturkomponente_bv_41_2020100,73.6
01/01/2008,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/2008,kalender_und_saisonbereinigte_werte_bv_41_2020100,73.6
01/01/2008,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.9
01/01/2008,kalenderbereinigte_werte_bv_41_2020100,68.5
01/04/2008,originalwert_2020100,77.6
01/04/2008,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.1
01/04/2008,trendkonjunkturkomponente_bv_41_2020100,74.1
01/04/2008,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/2008,kalender_und_saisonbereinigte_werte_bv_41_2020100,73.8
01/04/2008,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/04/2008,kalenderbereinigte_werte_bv_41_2020100,78.5
01/07/2008,originalwert_2020100,70.4
01/07/2008,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.9
01/07/2008,trendkonjunkturkomponente_bv_41_2020100,74.8
01/07/2008,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.9
01/07/2008,kalender_und_saisonbereinigte_werte_bv_41_2020100,74.6
01/07/2008,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.0
01/07/2008,kalenderbereinigte_werte_bv_41_2020100,70.4
01/10/2008,originalwert_2020100,80.3
01/10/2008,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.0
01/10/2008,trendkonjunkturkomponente_bv_41_2020100,75.6
01/10/2008,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,1.1
01/10/2008,kalender_und_saisonbereinigte_werte_bv_41_2020100,75.8
01/10/2008,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,1.5
01/10/2008,kalenderbereinigte_werte_bv_41_2020100,79.9
01/01/2009,originalwert_2020100,71.2
01/01/2009,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.9
01/01/2009,trendkonjunkturkomponente_bv_41_2020100,76.2
01/01/2009,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.8
01/01/2009,kalender_und_saisonbereinigte_werte_bv_41_2020100,76.1
01/01/2009,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/01/2009,kalenderbereinigte_werte_bv_41_2020100,71.0
01/04/2009,originalwert_2020100,82.0
01/04/2009,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.7
01/04/2009,trendkonjunkturkomponente_bv_41_2020100,76.6
01/04/2009,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/04/2009,kalender_und_saisonbereinigte_werte_bv_41_2020100,76.5
01/04/2009,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/04/2009,kalenderbereinigte_werte_bv_41_2020100,81.5
01/07/2009,originalwert_2020100,72.5
01/07/2009,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.0
01/07/2009,trendkonjunkturkomponente_bv_41_2020100,76.7
01/07/2009,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/07/2009,kalender_und_saisonbereinigte_werte_bv_41_2020100,76.7
01/07/2009,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/07/2009,kalenderbereinigte_werte_bv_41_2020100,72.5
01/10/2009,originalwert_2020100,79.8
01/10/2009,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.6
01/10/2009,trendkonjunkturkomponente_bv_41_2020100,76.8
01/10/2009,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.1
01/10/2009,kalender_und_saisonbereinigte_werte_bv_41_2020100,76.5
01/10/2009,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.3
01/10/2009,kalenderbereinigte_werte_bv_41_2020100,80.4
01/01/2010,originalwert_2020100,72.1
01/01/2010,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.2
01/01/2010,trendkonjunkturkomponente_bv_41_2020100,77.0
01/01/2010,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/01/2010,kalender_und_saisonbereinigte_werte_bv_41_2020100,77.0
01/01/2010,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/2010,kalenderbereinigte_werte_bv_41_2020100,71.9
01/04/2010,originalwert_2020100,82.5
01/04/2010,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.5
01/04/2010,trendkonjunkturkomponente_bv_41_2020100,77.2
01/04/2010,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/04/2010,kalender_und_saisonbereinigte_werte_bv_41_2020100,77.0
01/04/2010,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.0
01/04/2010,kalenderbereinigte_werte_bv_41_2020100,82.4
01/07/2010,originalwert_2020100,73.1
01/07/2010,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.8
